165;4B;Varela;REAL BETIS;BASE;Nuevos I
166;5;Bruno;REAL BETIS;BASE;Nuevos I
167;6;Mandi;REAL BETIS;BASE;Nuevos II
168;7;Durmisi;REAL BETIS;BASE;Nuevos I
169;8;Jonas Martin;REAL BETIS;BASE;Nuevos II
170;9;Petros;REAL BETIS;BASE;Nuevos I
171;10;Felipe Gutiérrez;REAL BETIS;BASE;Nuevos II
172;11;Joaquín;REAL BETIS;BASE;Nuevos I
173;12;Dani Ceballos;REAL BETIS;BASE;Nuevos I
174;13A;Cejudo;REAL BETIS;BASE;Nuevos I
175;13B;Fabián;REAL BETIS;BASE;Nuevos I
176;14;Álex Alegría;REAL BETIS;BASE;Nuevos II
177;15;Musonda;REAL BETIS;BASE;Nuevos I
178;16;Rubén Castro;REAL BETIS;BASE;Nuevos I
179;5BIS;Donk;REAL BETIS;BASE;Nuevos IV
191;1;Sergio;RC CELTA;BASE;Nuevos I
192;2;Rubén;RC CELTA;BASE;Nuevos I
193;3;Hugo Mallo;RC CELTA;BASE;Nuevos I
194;4;Cabral;RC CELTA;BASE;Nuevos I
195;5;Sergi Gómez;RC CELTA;BASE;Nuevos I
196;6A;Fontàs;RC CELTA;BASE;Nuevos I
197;6B;Planas;RC CELTA;BASE;Nuevos I
198;7;Jonny;RC CELTA;BASE;Nuevos I
199;8;Wass;RC CELTA;BASE;Nuevos I
200;9;Radoja;RC CELTA;BASE;Nuevos I
201;10;Pablo Hernández;RC CELTA;BASE;Nuevos I
202;11;Marcelo Díaz;RC CELTA;BASE;Nuevos I
203;12A;Pape Cheikh;RC CELTA;BASE;Nuevos I
204;12B;Señé;RC CELTA;BASE;Nuevos I
205;13;Beauvue;RC CELTA;BASE;Nuevos I
206;14A;Guidetti;RC CELTA;BASE;Nuevos I
207;14B;Bongonda;RC CELTA;BASE;Nuevos I
208;15;Iago Aspas;RC CELTA;BASE;Nuevos I
209;16;Orellana;RC CELTA;BASE;Nuevos I
221;1;Lux;DEPORTIVO;BASE;Nuevos I
222;2A;Tyton;DEPORTIVO;BASE;Nuevos II
223;2B;Rubén;DEPORTIVO;BASE;Nuevos II
224;3A;Laure;DEPORTIVO;BASE;Nuevos I
225;3B;Juanfran;DEPORTIVO;BASE;Nuevos I
226;4;Albentosa;DEPORTIVO;BASE;Nuevos II
227;5;Sidnei;DEPORTIVO;BASE;Nuevos I
228;6;Arribas;DEPORTIVO;BASE;Nuevos I
229;7;Fernando Navarro;DEPORTIVO;BASE;Nuevos I
230;8;Colak;DEPORTIVO;BASE;Nuevos III
231;9;Álex Bergantiños;DEPORTIVO;BASE;Nuevos I
232;10;Borges;DEPORTIVO;BASE;Nuevos I
233;11;Mosquera;DEPORTIVO;BASE;Nuevos I
234;12;Fajr;DEPORTIVO;BASE;Nuevos I
235;13;Carles Gil;DEPORTIVO;BASE;Nuevos III
236;14;Bruno Gama;DEPORTIVO;BASE;Nuevos III
237;15;Lucas Pérez;DEPORTIVO;BASE;Nuevos I
238;16;Oriol Riera;DEPORTIVO;BASE;Nuevos I
239;16BIS;Andone;DEPORTIVO;BASE;Nuevos III
240;7BIS;Luisinho;DEPORTIVO;BASE;Nuevos IV
241;15BIS;Joselu;DEPORTIVO;BASE;Nuevos IV
251;1;Riesgo;SD EIBAR;BASE;Nuevos I
252;2;Yoel;SD EIBAR;BASE;Nuevos II
253;3;Capa;SD EIBAR;BASE;Nuevos I
254;4;Mauro dos Santos;SD EIBAR;BASE;Nuevos I
255;5;Ramis;SD EIBAR;BASE;Nuevos I
256;6;Lejeune;SD EIBAR;BASE;Nuevos II
257;7A;Juncà;SD EIBAR;BASE;Nuevos I
258;7B;Luna;SD EIBAR;BASE;Nuevos I
259;8;Escalante;SD EIBAR;BASE;Nuevos I
260;9;Dani García;SD EIBAR;BASE;Nuevos I
261;10;Pedro León;SD EIBAR;BASE;Nuevos II
262;11A;Jota Peleteiro;SD EIBAR;BASE;Nuevos I
263;11B;Christian Rivera;SD EIBAR;BASE;Nuevos II
264;12;Adrián;SD EIBAR;BASE;Nuevos I
265;13;Inui;SD EIBAR;BASE;Nuevos I
266;14;Rubén Peña;SD EIBAR;BASE;Nuevos II
267;15;Kike García;SD EIBAR;BASE;Nuevos I
268;16;Sergi Enrich;SD EIBAR;BASE;Nuevos I
269;4BIS;Arbilla;SD EIBAR;BASE;Nuevos IV
270;16BIS;Nano;SD EIBAR;BASE;Nuevos IV
281;1;Roberto;RCD ESPANYOL;BASE;Nuevos I
282;2;Pau López;RCD ESPANYOL;BASE;Nuevos I
283;3A;Javi López;RCD ESPANYOL;BASE;Nuevos I
284;3B;Arbilla;RCD ESPANYOL;BASE;Nuevos I
285;4;Ciani;RCD ESPANYOL;BASE;Nuevos III
286;5;Óscar Duarte;RCD ESPANYOL;BASE;Nuevos I
287;6;Álvaro;RCD ESPANYOL;BASE;Nuevos I
288;7;Duarte;RCD ESPANYOL;BASE;Nuevos I
289;8;Diop;RCD ESPANYOL;BASE;Nuevos I
290;9;Víctor Sánchez;RCD ESPANYOL;BASE;Nuevos I
291;10A;Víctor Álvarez;RCD ESPANYOL;BASE;Nuevos I
292;10B;Salva Sevilla;RCD ESPANYOL;BASE;Nuevos I
293;11;Javi Fuego;RCD ESPANYOL;BASE;Nuevos III
294;12;Jurado;RCD ESPANYOL;BASE;Nuevos I
295;13;Hernán Pérez;RCD ESPANYOL;BASE;Nuevos I
296;14;Leo Baptistao;RCD ESPANYOL;BASE;Nuevos I
297;15;Gerard Moreno;RCD ESPANYOL;BASE;Nuevos I
298;16;Caicedo;RCD ESPANYOL;BASE;Nuevos I
299;2BIS;Diego López;RCD ESPANYOL;BASE;Nuevos IV
300;4BIS;Demichelis;RCD ESPANYOL;BASE;Nuevos IV
301;6BIS;Diego Reyes;RCD ESPANYOL;BASE;Nuevos IV
311;1;Ochoa;GRANADA CF;BASE;Nuevos III
312;2;Kelava;GRANADA CF;BASE;Nuevos I
313;3;Tito;GRANADA CF;BASE;Nuevos III
314;4;Foulquier;GRANADA CF;BASE;Nuevos I
315;5;Lombán;GRANADA CF;BASE;Nuevos I
316;6;Babin;GRANADA CF;BASE;Nuevos I
317;7;Gabriel Silva;GRANADA CF;BASE;Nuevos II
318;8;Krhin;GRANADA CF;BASE;Nuevos I
319;9;Rubén Pérez;GRANADA CF;BASE;Nuevos I
320;10;Fran Rico;GRANADA CF;BASE;Nuevos I
321;11;Javi Márquez;GRANADA CF;BASE;Nuevos I
322;12;Rochina;GRANADA CF;BASE;Nuevos I
323;13A;Edgar;GRANADA CF;BASE;Nuevos I
324;13B;Uche;GRANADA CF;BASE;Nuevos I
325;14;Boga;GRANADA CF;BASE;Nuevos III
326;15A;Cuenca;GRANADA CF;BASE;Nuevos I
327;15B;Barral;GRANADA CF;BASE;Nuevos I
328;16;Ponce;GRANADA CF;BASE;Nuevos III
329;6BIS;Saunier;GRANADA CF;BASE;Nuevos III
330;12BIS;Toral;GRANADA CF;BASE;Nuevos III
331;2BIS;Oier;GRANADA CF;BASE;Nuevos IV
